calc label enthalpy
e2ts_D_D_D_D_C_A_e2ts_D_C_D_D_C_A e2ts_D_D_D_D_C_A_e2ts_D_C_D_D_C_A -2950.88360938
e2ts_E_D_B_E_B_A_e2ts_E_D_B_E_C_A e2ts_E_D_B_E_B_A_e2ts_E_D_B_E_C_A -3006.12803225
e2ts_C_B_A_A_C_B_e2ts_B_B_A_A_C_B e2ts_C_B_A_A_C_B_e2ts_B_B_A_A_C_B -3159.83352784
e2ts_B_E_A_A_B_A_e2ts_B_E_A_B_B_A e2ts_B_E_A_A_B_A_e2ts_B_E_A_B_B_A -1002.61690090
e2ts_C_B_A_E_C_A_e2ts_C_D_A_E_C_A e2ts_C_B_A_E_C_A_e2ts_C_D_A_E_C_A -2838.80801579
e2ts_D_A_E_E_B_C_e2ts_D_A_E_B_B_C e2ts_D_A_E_E_B_C_e2ts_D_A_E_B_B_C -1312.96749247
e2ts_E_C_D_B_C_A_e2ts_E_C_C_B_C_A e2ts_E_C_D_B_C_A_e2ts_E_C_C_B_C_A -3095.88429828
e2ts_C_D_E_E_A_C_e2ts_C_D_E_E_C_C e2ts_C_D_E_E_A_C_e2ts_C_D_E_E_C_C -3353.26300059
e2ts_A_E_A_E_B_C_e2ts_A_E_D_E_B_C e2ts_A_E_A_E_B_C_e2ts_A_E_D_E_B_C -1147.97786449
e2ts_E_C_E_A_C_A_e2ts_E_C_E_C_C_A e2ts_E_C_E_A_C_A_e2ts_E_C_E_C_C_A -2946.94380953
e2ts_E_A_C_C_A_C_e2ts_E_C_C_C_A_C e2ts_E_A_C_C_A_C_e2ts_E_C_C_C_A_C -969.80361731
e2ts_C_B_E_D_C_A_e2ts_C_B_C_D_C_A e2ts_C_B_E_D_C_A_e2ts_C_B_C_D_C_A -3079.82742086
e2ts_E_D_D_C_A_A_e2ts_E_D_B_C_A_A e2ts_E_D_D_C_A_A_e2ts_E_D_B_C_A_A -569.78661523
e2ts_A_B_A_A_C_B_e2ts_E_B_A_A_C_B e2ts_A_B_A_A_C_B_e2ts_E_B_A_A_C_B -3010.92088806
e2ts_D_A_E_D_B_C_e2ts_D_B_E_D_B_C e2ts_D_A_E_D_B_C_e2ts_D_B_E_D_B_C -1336.09416370
e2ts_B_D_E_A_C_C_e2ts_B_D_E_E_C_C e2ts_B_D_E_A_C_C_e2ts_B_D_E_E_C_C -3465.33535137
e2ts_D_A_A_E_B_B_e2ts_D_A_A_C_B_B e2ts_D_A_A_E_B_B_e2ts_D_A_A_C_B_B -769.61144241
e2ts_C_C_D_C_B_A_e2ts_C_C_D_C_A_A e2ts_C_C_D_C_B_A_e2ts_C_C_D_C_A_A -494.54744728
e2ts_C_E_B_A_B_A_e2ts_C_E_B_A_C_A e2ts_C_E_B_A_B_A_e2ts_C_E_B_A_C_A -3003.81860804
e2ts_B_C_D_E_C_A_e2ts_B_C_D_E_A_A e2ts_B_C_D_E_C_A_e2ts_B_C_D_E_A_A -569.75186504
e2ts_D_E_D_E_C_B_e2ts_D_E_D_E_C_C e2ts_D_E_D_E_C_B_e2ts_D_E_D_E_C_C -3300.36793980
e2ts_A_D_E_E_C_D_e2ts_C_D_E_E_C_D e2ts_A_D_E_E_C_D_e2ts_C_D_E_E_C_D -5466.47054513
e2ts_B_B_E_E_C_A_e2ts_B_B_D_E_C_A e2ts_B_B_E_E_C_A_e2ts_B_B_D_E_C_A -3155.03776815
