calc label energy
e2ts_E_E_E_A_C_A-e2ts_E_E_E_C_C_A e2ts_E_E_E_C_C_A -2910.190114866519
e2ts_E_E_D_C_A_A e2ts_E_E_D_C_A_A -420.942666075834
e2ts_E_E_D_A_A_A-e2ts_E_E_D_D_A_A e2ts_E_E_D_D_A_A -368.027185442370
e2ts_E_E_D_A_A_A-e2ts_E_E_A_A_A_A e2ts_E_E_A_A_A_A -289.622007007353
e2ts_E_E_C_D_B_A e2ts_E_E_C_D_B_A -780.954252058597
e2ts_E_E_C_A_C_A e2ts_E_E_C_A_C_A -2854.941219334586
e2ts_E_E_C_A_B_A e2ts_E_E_C_A_B_A -741.746347908782
e2ts_E_E_A_C_B_A e2ts_E_E_A_C_B_A -741.746356974282
e2ts_E_D_E_D_B_C-e2ts_E_D_A_D_B_A e2ts_E_D_A_D_B_A -672.812965861264
e2ts_E_D_E_D_B_C-e2ts_E_A_E_D_B_A e2ts_E_A_E_D_B_A -688.834290816267
e2ts_E_D_E_D_B_B-e2ts_E_D_E_E_B_B e2ts_E_D_E_E_B_B -843.264115176584
e2ts_E_D_E_D_B_A-e2ts_E_D_E_D_B_B e2ts_E_D_E_D_B_B -827.229939322034
e2ts_E_D_E_D_B_A-e2ts_E_D_B_D_B_A e2ts_E_D_B_D_B_A -877.002135360845
e2ts_E_D_E_D_B_A e2ts_E_D_E_D_B_A -728.044905514097
e2ts_E_D_E_C_C_B-e2ts_D_D_E_C_C_B e2ts_D_D_E_C_C_B -2977.303239046341
e2ts_E_D_E_C_C_B-e2ts_C_D_E_C_C_B e2ts_C_D_E_C_C_B -3030.177022786013
e2ts_E_D_E_C_B_A e2ts_E_D_E_C_B_A -780.946616720991
e2ts_E_D_E_A_B_A-e2ts_E_D_E_E_B_A e2ts_E_D_E_E_B_A -744.074898722240
e2ts_E_D_E_A_B_A-e2ts_E_D_E_C_B_A e2ts_E_D_E_C_B_A -780.946617735385
e2ts_E_D_D_D_C_A-e2ts_D_D_D_D_C_A e2ts_D_D_D_D_C_A -2809.185447516212
e2ts_E_D_D_D_B_C-e2ts_D_D_D_D_B_A e2ts_D_D_D_D_B_A -695.985668879809
e2ts_E_D_D_D_B_C-e2ts_A_D_D_D_B_A e2ts_A_D_D_D_B_A -656.778457704750
e2ts_E_D_D_D_B_A-e2ts_D_D_D_D_B_A e2ts_D_D_D_D_B_A -695.985668931031
e2ts_E_D_D_D_B_A e2ts_E_D_D_D_B_A -712.017022672151
e2ts_E_D_D_C_C_A-e2ts_E_D_D_C_C_B e2ts_E_D_D_C_C_B -2977.308299099895
e2ts_E_D_D_C_C_A e2ts_E_D_D_C_C_A -2878.115399963791
e2ts_E_D_D_A_C_B-e2ts_E_D_D_E_C_B e2ts_E_D_D_E_C_B -2940.433433393194
e2ts_E_D_D_A_C_B-e2ts_E_C_D_A_C_B e2ts_E_C_D_A_C_B -2938.077456047589
e2ts_E_D_D_A_C_B-e2ts_C_D_D_A_C_B e2ts_C_D_D_A_C_B -2922.047666599796
e2ts_E_D_D_A_B_A-e2ts_E_D_D_E_B_A e2ts_E_D_D_E_B_A -728.048433914667
e2ts_E_D_D_A_B_A-e2ts_E_C_D_A_B_A e2ts_E_C_D_A_B_A -725.689683497731
e2ts_E_D_D_A_B_A-e2ts_D_D_D_A_B_A e2ts_D_D_D_A_B_A -656.781783169850
e2ts_E_D_D_A_A_A-e2ts_E_D_C_A_A_A e2ts_E_D_C_A_A_A -365.703572554197
e2ts_E_D_C_D_C_A-e2ts_E_D_C_A_C_A e2ts_E_D_C_A_C_A -2838.913186939606
e2ts_E_D_C_D_B_A-e2ts_E_B_C_D_B_A e2ts_E_B_C_D_B_A -929.873847339855
e2ts_E_D_C_A_B_A-e2ts_E_C_C_A_B_A e2ts_E_C_C_A_B_A -778.586111435913
e2ts_E_D_C_A_B_A-e2ts_D_D_C_A_B_A e2ts_D_D_C_A_B_A -709.685837514702
e2ts_E_D_B_E_B_A-e2ts_E_D_C_E_B_A e2ts_E_D_C_E_B_A -780.950019448911
e2ts_E_D_B_E_B_A-e2ts_E_D_B_D_B_A e2ts_E_D_B_D_B_A -877.002136061580
e2ts_E_D_B_E_B_A-e2ts_E_D_A_E_B_A e2ts_E_D_A_E_B_A -688.841700984341
e2ts_E_D_B_E_B_A-e2ts_D_D_B_E_B_A e2ts_D_D_B_E_B_A -876.998946201986
e2ts_E_D_B_E_B_A e2ts_E_D_B_E_B_A -893.031529082229
e2ts_E_D_B_E_A_A-e2ts_E_E_B_E_A_A e2ts_E_E_B_E_A_A -549.053740681131
e2ts_E_D_B_E_A_A-e2ts_E_B_B_E_A_A e2ts_E_B_B_E_A_A -697.980215639404
e2ts_E_D_B_E_A_A-e2ts_D_D_B_E_A_A e2ts_D_D_B_E_A_A -516.978634757406
e2ts_E_D_B_E_A_A e2ts_E_D_B_E_A_A -533.015551606299
e2ts_E_D_B_A_A_A-e2ts_E_D_C_A_A_A e2ts_E_D_C_A_A_A -365.703578659754
e2ts_E_D_B_A_A_A-e2ts_E_B_B_A_A_A e2ts_E_B_B_A_A_A -642.743944382158
e2ts_E_D_A_C_C_A e2ts_E_D_A_C_C_A -2838.912274288832
e2ts_E_D_A_C_B_A-e2ts_E_D_E_C_B_A e2ts_E_D_E_C_B_A -780.946607247315
e2ts_E_D_A_C_B_A-e2ts_E_D_A_E_B_A e2ts_E_D_A_E_B_A -688.841702292103
e2ts_E_D_A_C_B_A-e2ts_E_B_A_C_B_A e2ts_E_B_A_C_B_A -890.672727158220
e2ts_E_D_A_C_B_A e2ts_E_D_A_C_B_A -725.717441296019
e2ts_E_D_A_C_A_A-e2ts_E_D_E_C_A_A e2ts_E_D_E_C_A_A -420.930910575062
e2ts_E_D_A_C_A_A-e2ts_E_D_D_C_A_A e2ts_E_D_D_C_A_A -404.904968539087
e2ts_E_D_A_C_A_A-e2ts_E_D_A_A_A_A e2ts_E_D_A_A_A_A -273.584162927670
e2ts_E_D_A_C_A_A-e2ts_D_D_A_C_A_A e2ts_D_D_A_C_A_A -349.667208537153
e2ts_E_D_A_C_A_A e2ts_E_D_A_C_A_A -365.703319601090
e2ts_E_D_A_B_C_B-e2ts_E_D_E_B_C_B e2ts_E_D_E_B_C_B -3105.417203784811
e2ts_E_D_A_B_C_B-e2ts_E_D_A_E_C_B e2ts_E_D_A_E_C_B -2901.227062828854
e2ts_E_D_A_B_C_B-e2ts_E_D_A_C_C_B e2ts_E_D_A_C_C_B -2938.106582583194
e2ts_E_D_A_A_C_A-e2ts_E_C_A_A_C_A e2ts_E_C_A_A_C_A -2799.712876892900
e2ts_E_D_A_A_B_A e2ts_E_D_A_A_B_A -633.609109127739
e2ts_E_C_E_E_A_A-e2ts_E_E_E_E_A_A e2ts_E_E_E_E_A_A -400.090665246275
e2ts_E_C_E_E_A_A-e2ts_E_A_E_E_A_A e2ts_E_A_E_E_A_A -344.839289718339
e2ts_E_C_E_E_A_A-e2ts_C_C_E_E_A_A e2ts_C_C_E_E_A_A -473.774937420694
e2ts_E_C_E_E_A_A-e2ts_A_C_E_E_A_A e2ts_A_C_E_E_A_A -381.693727178836
e2ts_E_C_E_E_A_A e2ts_E_C_E_E_A_A -436.933233388537
e2ts_E_C_E_D_B_B-e2ts_E_C_C_D_B_B e2ts_E_C_C_D_B_B -916.983673519319
e2ts_E_C_E_D_B_B-e2ts_E_A_E_D_B_B e2ts_E_A_E_D_B_B -788.020225531341
e2ts_E_C_E_D_B_A-e2ts_E_C_C_D_B_A e2ts_E_C_C_D_B_A -817.790573834134
e2ts_E_C_E_D_B_A-e2ts_E_A_E_D_B_A e2ts_E_A_E_D_B_A -688.834921436822
e2ts_E_C_E_D_B_A e2ts_E_C_E_D_B_A -780.924159473400
e2ts_E_C_E_D_A_D-e2ts_E_D_E_D_A_A e2ts_E_D_E_D_A_A -368.015312201385
e2ts_E_C_E_D_A_D-e2ts_E_C_E_E_A_A e2ts_E_C_E_E_A_A -436.926759156122
e2ts_E_C_E_D_A_D-e2ts_E_C_E_C_A_A e2ts_E_C_E_C_A_A -473.801927371497
e2ts_E_C_E_D_A_D-e2ts_E_C_D_D_A_A e2ts_E_C_D_D_A_A -404.871797084400
e2ts_E_C_E_D_A_D-e2ts_E_C_A_D_A_A e2ts_E_C_A_D_A_A -365.668562003350
e2ts_E_C_E_D_A_B-e2ts_E_D_E_D_A_A e2ts_E_D_E_D_A_A -368.015301987337
e2ts_E_C_E_D_A_B-e2ts_E_C_E_C_A_A e2ts_E_C_E_C_A_A -473.801902272620
e2ts_E_C_E_D_A_B-e2ts_E_C_D_D_A_A e2ts_E_C_D_D_A_A -404.871816196308
e2ts_E_C_E_D_A_B-e2ts_E_C_C_D_A_A e2ts_E_C_C_D_A_A -457.776902678755
e2ts_E_C_E_D_A_B-e2ts_E_C_A_D_A_A e2ts_E_C_A_D_A_A -365.668564809834
e2ts_E_C_E_D_A_A-e2ts_D_C_E_D_A_A e2ts_D_C_E_D_A_A -404.867318305869
e2ts_E_C_E_A_B_C-e2ts_E_C_C_A_B_C e2ts_E_C_C_A_B_C -1237.801847179812
e2ts_E_C_E_A_B_B-e2ts_E_C_E_E_B_B e2ts_E_C_E_E_B_B -896.137765756999
e2ts_E_C_E_A_B_B-e2ts_E_C_E_C_B_B e2ts_E_C_E_C_B_B -933.010146366772
e2ts_E_C_E_A_B_B-e2ts_E_C_C_A_B_B e2ts_E_C_C_A_B_B -877.781405196133
e2ts_E_C_E_A_B_B e2ts_E_C_E_A_B_B -840.904140967393
e2ts_E_C_E_A_B_A-e2ts_E_C_E_A_B_C e2ts_E_C_E_A_B_C -1200.946173884070
e2ts_E_C_E_A_B_A e2ts_E_C_E_A_B_A -741.712752849475
e2ts_E_C_E_A_A_A-e2ts_A_C_E_A_A_A e2ts_A_C_E_A_A_A -326.454277690249
e2ts_E_C_D_E_C_B-e2ts_E_C_E_E_C_B e2ts_E_C_E_E_C_B -3009.338166092042
e2ts_E_C_D_E_C_B-e2ts_E_C_A_E_C_B e2ts_E_C_A_E_C_B -2954.105439206364
e2ts_E_C_D_E_B_B-e2ts_E_D_D_E_B_B e2ts_E_D_D_E_B_B -827.231623544462
e2ts_E_C_D_E_B_A-e2ts_E_D_D_E_B_A e2ts_E_D_D_E_B_A -728.048428781436
e2ts_E_C_D_E_B_A-e2ts_E_C_E_E_B_A e2ts_E_C_E_E_B_A -796.957051331462
e2ts_E_C_D_E_B_A-e2ts_E_C_D_E_B_B e2ts_E_C_D_E_B_B -880.112567616828
e2ts_E_C_D_E_B_A-e2ts_E_C_C_E_B_A e2ts_E_C_C_E_B_A -833.819660013489
e2ts_E_C_D_E_B_A e2ts_E_C_D_E_B_A -780.927452548696
e2ts_E_C_D_E_A_D-e2ts_E_D_D_E_A_A e2ts_E_D_D_E_A_A -368.017628257243
e2ts_E_C_D_E_A_D-e2ts_E_C_C_E_A_A e2ts_E_C_C_E_A_A -473.805108993781
e2ts_E_C_D_E_A_D-e2ts_E_C_A_E_A_A e2ts_E_C_A_E_A_A -381.697288411251
e2ts_E_C_D_E_A_D-e2ts_A_C_D_E_A_A e2ts_A_C_D_E_A_A -365.663086457657
e2ts_E_C_D_E_A_A-e2ts_E_C_B_E_A_A e2ts_E_C_B_E_A_A -585.887548155719
e2ts_E_C_D_E_A_A-e2ts_E_A_D_E_A_A e2ts_E_A_D_E_A_A -328.809240932913
e2ts_E_C_D_E_A_A-e2ts_A_C_D_E_A_A e2ts_A_C_D_E_A_A -365.663108029337
e2ts_E_C_D_D_B_B e2ts_E_C_D_D_B_B -864.083287988423
e2ts_E_C_D_D_A_C-e2ts_E_A_D_D_A_A e2ts_E_A_D_D_A_A -312.780097549669
e2ts_E_C_D_D_A_C-e2ts_A_C_D_D_A_A e2ts_A_C_D_D_A_A -349.633889853903
e2ts_E_C_D_D_A_A e2ts_E_C_D_D_A_A -404.871822797058
