calc label enthalpyR enthalpyP
e2ts_E_E_E_A_C_A-e2ts_E_E_E_C_C_A e2ts_E_E_E_C_C_A -336.06612012
e2ts_E_E_D_C_A_A e2ts_E_E_D_C_A_A -420.30793036 -320.03520675
e2ts_E_E_D_A_A_A-e2ts_E_E_D_D_A_A e2ts_E_E_D_D_A_A -367.40311115 -267.10945869
e2ts_E_E_D_A_A_A-e2ts_E_E_A_A_A_A e2ts_E_E_A_A_A_A -289.05646955 -188.76513587
e2ts_E_E_C_D_B_A e2ts_E_E_C_D_B_A -780.31481291 -320.03313079
e2ts_E_E_C_A_C_A e2ts_E_E_C_A_C_A -2854.13502528 -280.85740625
e2ts_E_E_C_A_B_A e2ts_E_E_C_A_B_A -741.13812892 -280.85742453
e2ts_E_E_A_C_B_A e2ts_E_E_A_C_B_A -741.13771033 -280.85745774
e2ts_E_D_E_D_B_C-e2ts_E_D_A_D_B_A e2ts_E_D_A_D_B_A -672.19703716 -211.89503766
e2ts_E_D_E_D_B_C-e2ts_E_A_E_D_B_A e2ts_E_A_E_D_B_A -688.22810316 -227.92697603
e2ts_E_D_E_D_B_B-e2ts_E_D_E_E_B_B e2ts_E_D_E_E_B_B -743.45091903 -283.14433777
e2ts_E_D_E_D_B_A-e2ts_E_D_E_D_B_B e2ts_E_D_E_D_B_B -727.40833847 -267.10560460
e2ts_E_D_E_D_B_A-e2ts_E_D_B_D_B_A e2ts_E_D_B_D_B_A -876.35535287 -416.05739055
e2ts_E_D_E_D_B_A e2ts_E_D_E_D_B_A -727.40841065 -267.10462254
e2ts_E_D_E_C_C_B-e2ts_D_D_E_C_C_B e2ts_D_D_E_C_C_B -2877.47021182 -303.97901589
e2ts_E_D_E_C_C_B-e2ts_C_D_E_C_C_B e2ts_C_D_E_C_C_B -2930.36374555 -356.88679174
e2ts_E_D_E_C_C_B e2ts_E_D_E_C_C_B -2893.50664173 -320.02499787
e2ts_E_D_E_C_B_A e2ts_E_D_E_C_B_A -780.31306467 -320.02069954
e2ts_E_D_E_A_B_A-e2ts_E_D_E_E_B_A e2ts_E_D_E_E_B_A -743.45439648 -283.14222556
e2ts_E_D_E_A_B_A-e2ts_E_D_E_C_B_A e2ts_E_D_E_C_B_A -780.31307067 -320.02074647
e2ts_E_D_D_D_C_A-e2ts_D_D_D_D_C_A e2ts_D_D_D_D_C_A -2808.52780369 -235.02283799
e2ts_E_D_D_D_B_C-e2ts_D_D_D_D_B_C e2ts_D_D_D_D_B_C -695.33298298 -235.02372577
e2ts_E_D_D_D_B_C-e2ts_D_D_D_D_B_A e2ts_D_D_D_D_B_A -695.33313482 -235.02391044
e2ts_E_D_D_D_B_C-e2ts_A_D_D_D_B_C e2ts_A_D_D_D_B_C -656.15590229 -195.85049031
e2ts_E_D_D_D_B_C-e2ts_A_D_D_D_B_A e2ts_A_D_D_D_B_A -656.15601201 -195.84962843
e2ts_E_D_D_D_B_A-e2ts_D_D_D_D_B_A e2ts_D_D_D_D_B_A -695.33299018 -235.02130862
e2ts_E_D_D_D_B_A e2ts_E_D_D_D_B_A -711.36968033 -251.06758143
e2ts_E_D_D_C_C_A-e2ts_E_D_D_C_C_B e2ts_E_D_D_C_C_B -2877.47281963 -303.98913072
