calc label enthalpy
e2ts_E_E_E_A_C_A-e2ts_E_E_E_C_C_A e2ts_E_E_E_C_C_A -2910.10776264
e2ts_E_E_D_C_A_A e2ts_E_E_D_C_A_A -420.84445235
e2ts_E_E_D_A_A_A-e2ts_E_E_D_D_A_A e2ts_E_E_D_D_A_A -367.90089342
e2ts_E_E_D_A_A_A-e2ts_E_E_A_A_A_A e2ts_E_E_A_A_A_A -289.54794366
e2ts_E_E_C_D_B_A e2ts_E_E_C_D_B_A -780.85829988
e2ts_E_E_C_A_C_A e2ts_E_E_C_A_C_A -2854.87439031
e2ts_E_E_C_A_B_A e2ts_E_E_C_A_B_A -741.67764272
e2ts_E_E_A_C_B_A e2ts_E_E_A_C_B_A -741.67760315
e2ts_E_D_E_D_B_C-e2ts_E_D_A_D_B_A e2ts_E_D_A_D_B_A -672.70400977
e2ts_E_D_E_D_B_C-e2ts_E_A_E_D_B_A e2ts_E_A_E_D_B_A -688.73692525
e2ts_E_D_E_D_B_B-e2ts_E_D_E_E_B_B e2ts_E_D_E_E_B_B -843.15368174
e2ts_E_D_E_D_B_A-e2ts_E_D_E_D_B_B e2ts_E_D_E_D_B_B -827.10942746
e2ts_E_D_E_D_B_A-e2ts_E_D_B_D_B_A e2ts_E_D_B_D_B_A -876.89019128
e2ts_E_D_E_D_B_A e2ts_E_D_E_D_B_A -727.92079873
e2ts_E_D_E_C_C_B-e2ts_D_D_E_C_C_B e2ts_D_D_E_C_C_B -2977.20240400
e2ts_E_D_E_C_C_B-e2ts_C_D_E_C_C_B e2ts_C_D_E_C_C_B -3030.10749687
e2ts_E_D_E_C_B_A e2ts_E_D_E_C_B_A -780.85059828
e2ts_E_D_E_A_B_A-e2ts_E_D_E_E_B_A e2ts_E_D_E_E_B_A -743.96014876
e2ts_E_D_E_A_B_A-e2ts_E_D_E_C_B_A e2ts_E_D_E_C_B_A -780.85058330
e2ts_E_D_D_D_C_A-e2ts_D_D_D_D_C_A e2ts_D_D_D_D_C_A -2809.03951256
e2ts_E_D_D_D_B_C-e2ts_D_D_D_D_B_A e2ts_D_D_D_D_B_A -695.83944814
e2ts_E_D_D_D_B_C-e2ts_A_D_D_D_B_A e2ts_A_D_D_D_B_A -656.65976065
e2ts_E_D_D_D_B_A-e2ts_D_D_D_D_B_A e2ts_D_D_D_D_B_A -695.83942757
e2ts_E_D_D_D_B_A e2ts_E_D_D_D_B_A -711.88164986
e2ts_E_D_D_C_C_A-e2ts_E_D_D_C_C_B e2ts_E_D_D_C_C_B -2977.20788109
e2ts_E_D_D_C_C_A e2ts_E_D_D_C_C_A -2878.00993356
e2ts_E_D_D_A_C_B-e2ts_E_D_D_E_C_B e2ts_E_D_D_E_C_B -2940.31364168
e2ts_E_D_D_A_C_B-e2ts_E_C_D_A_C_B e2ts_E_C_D_A_C_B -2938.00553915
e2ts_E_D_D_A_C_B-e2ts_C_D_D_A_C_B e2ts_C_D_D_A_C_B -2921.96457000
e2ts_E_D_D_A_B_A-e2ts_E_D_D_E_B_A e2ts_E_D_D_E_B_A -727.92278681
e2ts_E_D_D_A_B_A-e2ts_E_C_D_A_B_A e2ts_E_C_D_A_B_A -725.61249570
e2ts_E_D_D_A_B_A-e2ts_D_D_D_A_B_A e2ts_D_D_D_A_B_A -656.66216523
e2ts_E_D_D_A_A_A-e2ts_E_D_C_A_A_A e2ts_E_D_C_A_A_A -365.62187068
e2ts_E_D_C_D_C_A-e2ts_E_D_C_A_C_A e2ts_E_D_C_A_C_A -2838.83501903
e2ts_E_D_C_D_B_A-e2ts_E_B_C_D_B_A e2ts_E_B_C_D_B_A -929.79545539
e2ts_E_D_C_A_B_A-e2ts_E_C_C_A_B_A e2ts_E_C_C_A_B_A -778.53840193
e2ts_E_D_C_A_B_A-e2ts_D_D_C_A_B_A e2ts_D_D_C_A_B_A -709.59535745
e2ts_E_D_B_E_B_A-e2ts_E_D_C_E_B_A e2ts_E_D_C_E_B_A -780.85335159
e2ts_E_D_B_E_B_A-e2ts_E_D_B_D_B_A e2ts_E_D_B_D_B_A -876.89018514
e2ts_E_D_B_E_B_A-e2ts_E_D_A_E_B_A e2ts_E_D_A_E_B_A -688.74264145
e2ts_E_D_B_E_B_A-e2ts_D_D_B_E_B_A e2ts_D_D_B_E_B_A -876.88754731
e2ts_E_D_B_E_B_A e2ts_E_D_B_E_B_A -892.93102857
e2ts_E_D_B_E_A_A-e2ts_E_E_B_E_A_A e2ts_E_E_B_E_A_A -548.96136158
e2ts_E_D_B_E_A_A-e2ts_E_B_B_E_A_A e2ts_E_B_B_E_A_A -697.90425918
e2ts_E_D_B_E_A_A-e2ts_D_D_B_E_A_A e2ts_D_D_B_E_A_A -516.86583173
e2ts_E_D_B_E_A_A e2ts_E_D_B_E_A_A -532.91323510
e2ts_E_D_B_A_A_A-e2ts_E_D_C_A_A_A e2ts_E_D_C_A_A_A -365.62188210
e2ts_E_D_B_A_A_A-e2ts_E_B_B_A_A_A e2ts_E_B_B_A_A_A -642.68470188
e2ts_E_D_A_C_C_A e2ts_E_D_A_C_C_A -2838.83406064
