calc label energy
sn2_D_C_D_D_A_D sn2_D_C_D_D_A_D -2961.244573470194
sn2_E_E_C_E_A_B sn2_E_E_C_E_A_B -536.110503921722
sn2_A_A_B_E_B_C sn2_A_A_B_E_B_C -1257.812284704389
sn2_A_A_C_C_C_D sn2_A_A_C_C_C_D -5408.968100557508
sn2_E_D_D_E_A_B sn2_E_D_D_E_A_B -467.191127943968
sn2_A_A_D_C_B_D sn2_A_A_D_C_B_D -3242.894284411092
sn2_A_A_D_C_C_B sn2_A_A_D_C_C_B -2882.844377417890
sn2_A_A_D_C_C_C sn2_A_A_D_C_C_C -3242.894843486794
sn2_A_A_D_D_B_D sn2_A_A_D_D_B_D -3190.010516630345
sn2_E_D_B_D_A_C sn2_E_D_B_D_A_C -976.165239423965
sn2_A_A_E_C_B_D sn2_A_A_E_C_B_D -3258.911256192313
sn2_A_A_E_C_C_C sn2_A_A_E_C_C_C -3258.912572628831
sn2_A_A_E_C_C_D sn2_A_A_E_C_C_D -5372.114562343392
sn2_E_C_E_C_C_B sn2_E_C_E_C_C_B -3046.182714737061
sn2_E_C_E_C_C_A sn2_E_C_E_C_C_A -2947.000347721159
sn2_A_C_A_E_C_C sn2_A_C_A_E_C_C -3258.914816224932
sn2_A_C_C_A_B_D sn2_A_C_C_A_B_D -3295.769365448464
sn2_A_C_C_A_C_B sn2_A_C_C_A_C_B -2935.725778132239
sn2_A_C_C_A_C_C sn2_A_C_C_A_C_C -3295.769658444287
sn2_A_C_C_E_A_B sn2_A_C_C_E_A_B -517.724766800791
sn2_A_C_D_E_A_B sn2_A_C_D_E_A_B -464.840315379421
sn2_A_C_D_E_B_C sn2_A_C_D_E_B_C -1184.915440410691
sn2_A_C_D_E_B_D sn2_A_C_D_E_B_D -3298.118202666371
sn2_A_C_E_E_B_C sn2_A_C_E_E_B_C -1200.937474915409
sn2_A_D_A_E_C_D sn2_A_D_A_E_C_D -5319.236310342240
sn2_A_D_D_D_B_C sn2_A_D_D_D_B_C -1116.008860727648
sn2_A_D_D_D_C_B sn2_A_D_D_D_C_B -2869.158721913170
sn2_E_C_C_B_B_B sn2_E_C_C_B_B_B -1081.911620988403
sn2_E_C_C_A_C_C sn2_E_C_C_A_C_C -3350.993679295039
sn2_E_C_B_E_B_A sn2_E_C_B_E_B_A -945.886684355846
sn2_E_C_B_D_B_B sn2_E_C_B_D_B_B -1029.040379158172
sn2_E_C_B_C_C_B sn2_E_C_B_C_C_B -3195.112446424046
sn2_A_E_C_C_B_B sn2_A_E_C_C_B_B -877.756053406978
sn2_A_E_C_D_C_A sn2_A_E_C_D_C_A -2838.888495185068
sn2_A_E_D_C_B_B sn2_A_E_D_C_B_B -824.879490598694
sn2_A_E_D_D_B_B sn2_A_E_D_D_B_B -771.994115070964
sn2_A_E_D_D_C_B sn2_A_E_D_D_C_B -2885.195509419999
sn2_E_C_A_B_C_B sn2_E_C_A_B_C_B -3103.034953292393
sn2_B_A_A_C_B_B sn2_B_A_A_C_B_B -934.608540169955
sn2_B_C_A_A_B_B sn2_B_C_A_A_B_B -934.605483184455
sn2_E_B_D_C_A_A sn2_E_B_D_C_A_A -569.840228075687
sn2_C_A_B_A_B_B sn2_C_A_B_A_B_B -934.608705300385
sn2_C_A_C_D_A_B sn2_C_A_C_D_A_B -501.699306058661
sn2_C_A_C_D_B_C sn2_C_A_C_D_B_C -1221.769225971995
sn2_E_B_C_D_A_A sn2_E_B_C_D_A_A -569.845160682071
sn2_C_A_D_C_B_B sn2_C_A_D_C_B_B -861.729550438368
sn2_C_A_D_D_A_B sn2_C_A_D_D_A_B -448.811126053466
sn2_C_A_D_D_A_C sn2_C_A_D_D_A_C -808.847075535498
sn2_C_A_D_D_C_C sn2_C_A_D_D_C_C -3282.093318426009
sn2_C_A_D_E_B_D sn2_C_A_D_E_B_D -3298.119612967332
sn2_C_A_E_A_B_D sn2_C_A_E_A_B_D -3258.914806635161
sn2_C_A_E_E_B_C sn2_C_A_E_E_B_C -1200.942596501558
sn2_C_C_A_C_A_B sn2_C_C_A_C_A_B -554.574460588776
sn2_C_C_A_E_A_B sn2_C_C_A_E_A_B -517.716160327012
sn2_E_B_B_E_A_B sn2_E_B_B_E_A_B -797.136934563804
sn2_C_C_C_A_A_B sn2_C_C_C_A_A_B -554.574460656318
sn2_C_C_C_A_B_B sn2_C_C_C_A_B_B -914.601253929653
sn2_C_C_D_A_A_B sn2_C_C_D_A_A_B -501.692924514554
sn2_C_E_A_E_B_B sn2_C_E_A_E_B_B -840.897935868189
sn2_C_E_A_E_C_B sn2_C_E_A_E_C_B -2954.097689093972
sn2_C_E_C_A_B_B sn2_C_E_C_A_B_B -877.759120221686
sn2_E_A_D_C_C_B sn2_E_A_D_C_C_B -2938.081775898133
sn2_E_A_B_B_B_A sn2_E_A_B_B_B_A -1002.718881764758
sn2_D_E_D_C_C_A sn2_D_E_D_C_C_A -2878.078267767088
sn2_D_E_D_B_A_A sn2_D_E_D_B_A_A -516.941837315262
sn2_D_E_C_E_A_B sn2_D_E_C_E_A_B -520.076146493341
sn2_D_D_E_D_A_C sn2_D_D_E_D_A_C -811.178027694241
sn2_D_D_E_B_C_D sn2_D_D_E_B_C_D -5562.598570110353
sn2_D_D_D_C_A_B sn2_D_D_D_C_A_B -488.010150792796
sn2_D_D_D_B_C_D sn2_D_D_D_B_C_D -5546.564055247589
sn2_D_D_D_B_C_C sn2_D_D_D_B_C_C -3433.363430365616
sn2_D_D_D_B_A_A sn2_D_D_D_B_A_A -500.903363192095
sn2_D_D_C_E_B_D sn2_D_D_C_E_B_D -3337.309605883129
sn2_D_D_C_A_B_C sn2_D_D_C_A_B_C -1168.882177986990
sn2_D_D_B_E_B_B sn2_D_D_B_E_B_B -976.159230866624
sn2_D_D_A_D_B_B sn2_D_D_A_D_B_B -755.954910480712
sn2_D_C_E_E_B_D sn2_D_C_E_E_B_D -3353.337366016377
sn2_D_C_D_C_B_A sn2_D_C_D_C_B_A -801.748980332035
sn2_D_C_D_B_A_B sn2_D_C_D_B_A_B -652.987559810700
sn2_D_C_C_E_B_A sn2_D_C_C_E_B_A -817.769822172586
sn2_D_C_C_C_C_B sn2_D_C_C_C_C_B -3067.000801440212
sn2_D_C_C_A_C_B sn2_D_C_C_A_C_B -2974.925748258006
sn2_D_C_B_E_A_C sn2_D_C_B_E_A_C -1029.048223473411
sn2_D_C_A_E_C_D sn2_D_C_A_E_C_D -5411.310670646082
sn2_D_C_A_B_B_A sn2_D_C_A_B_B_A -874.624283856808
sn2_D_B_E_E_A_C sn2_D_B_E_E_A_C -992.197375337924
sn2_D_B_D_E_B_B sn2_D_B_D_E_B_B -976.151475394083
sn2_D_B_D_E_A_A sn2_D_B_D_E_A_A -516.937886656464
sn2_D_B_C_E_A_A sn2_D_B_C_E_A_A -569.824573525054
sn2_D_B_C_A_C_C sn2_D_B_C_A_C_C -3447.041861623066
sn2_D_A_D_B_B_B sn2_D_A_D_B_B_B -920.933348023645
sn2_D_A_C_C_C_D sn2_D_A_C_C_C_D -5448.167617466765
sn2_D_A_C_C_A_D sn2_D_A_C_C_A_D -2974.923127734220
sn2_D_A_B_E_B_A sn2_D_A_B_E_B_A -837.772030159420
sn2_C_E_B_B_B_B sn2_C_E_B_B_B_B -1193.987507176731
sn2_C_E_A_C_C_D sn2_C_E_A_C_C_D -5464.195025923986
sn2_C_D_E_E_C_C sn2_C_D_E_E_C_C -3353.332298159633
sn2_C_D_C_E_C_B sn2_C_D_C_E_C_B -3030.153420671732
sn2_C_C_E_A_A_A sn2_C_C_E_A_A_A -418.538906127923
sn2_C_C_D_E_B_C sn2_C_C_D_E_B_C -1276.986216936936
sn2_C_C_D_A_C_C sn2_C_C_D_A_C_C -3334.963683975448
sn2_C_C_D_A_B_D sn2_C_C_D_A_B_D -3334.963684377823
sn2_C_C_A_B_A_C sn2_C_C_A_B_A_C -1026.680089579673
sn2_C_A_E_C_C_C sn2_C_A_E_C_C_C -3351.001193051451
sn2_C_A_E_B_C_A sn2_C_A_E_B_C_A -3003.857725176651
sn2_C_A_D_B_C_B sn2_C_A_D_B_C_B -3087.013997889399
sn2_C_A_D_A_C_D sn2_C_A_D_A_C_D -5356.096871502302
sn2_C_A_C_C_B_D sn2_C_A_C_C_B_D -3387.839798385456
sn2_C_A_B_E_B_D sn2_C_A_B_E_B_D -3463.090964325685
sn2_C_A_B_D_B_B sn2_C_A_B_D_B_B -973.814004134552
sn2_C_A_B_B_B_B sn2_C_A_B_B_B_B -1138.757675406459
sn2_B_E_E_C_B_C sn2_B_E_E_C_B_C -1405.106826638431
sn2_B_E_E_B_B_B sn2_B_E_E_B_B_B -1157.166867677213
sn2_B_E_E_A_A_C sn2_B_E_E_A_A_C -953.000318267567
sn2_B_E_D_C_C_B sn2_B_E_D_C_C_B -3142.250521173988
sn2_B_E_C_D_B_A sn2_B_E_C_D_B_A -929.861108420616
sn2_B_E_C_D_A_B sn2_B_E_C_D_A_B -669.028007813680
sn2_B_E_B_A_B_A sn2_B_E_B_A_B_A -1002.742325132636
sn2_B_E_B_A_A_A sn2_B_E_B_A_A_A -642.726342895821
sn2_B_E_A_C_C_C sn2_B_E_A_C_C_C -3463.077133328894
sn2_B_E_A_C_C_B sn2_B_E_A_C_C_B -3103.046843074609
sn2_B_E_A_B_C_B sn2_B_E_A_B_C_B -3215.121107125262
sn2_B_D_D_D_B_C sn2_B_D_D_D_B_C -1320.158978353938
sn2_B_D_D_D_B_B sn2_B_D_D_D_B_B -960.124782827580
sn2_B_D_D_D_A_A sn2_B_D_D_D_A_A -500.913549650197
sn2_B_D_C_C_B_B sn2_B_D_C_C_B_B -1065.885403066576
sn2_B_C_E_A_A_B sn2_B_C_E_A_A_B -629.804231158718
