calc label enthalpyR enthalpyP
sn2_E_E_E_E_A_B sn2_E_E_E_E_A_B -399.49731044 -399.48902853
sn2_E_E_E_E_A_A sn2_E_E_E_E_A_A -399.48171299 -300.36393354
sn2_E_E_E_D_C_A sn2_E_E_E_D_C_A -284.31643255
sn2_E_E_E_D_A_B sn2_E_E_E_D_A_B -383.44179244 -383.45150374
sn2_E_E_E_D_A_A sn2_E_E_E_D_A_A -383.45279503 -284.31641233
sn2_E_E_E_C_B_B sn2_E_E_E_C_B_B -796.35171260 -436.35546875
sn2_E_E_E_C_B_A sn2_E_E_E_C_B_A -796.35171233 -337.22759037
sn2_E_E_E_C_A_B sn2_E_E_E_C_A_B -436.35546182 -436.35543058
sn2_E_E_E_A_B_A sn2_E_E_E_A_B_A -704.05990760 -245.14119839
sn2_E_E_E_A_A_A sn2_E_E_E_A_A_A -344.27194233 -245.14194985
sn2_E_E_D_E_B_A sn2_E_E_D_E_B_A -743.30858832 -284.31960155
sn2_E_E_D_D_A_D sn2_E_E_D_D_A_D -367.41557545 -2840.60326780
sn2_E_E_D_C_A_B sn2_E_E_D_C_A_B -420.31963956 -420.31344262
sn2_E_E_D_B_A_B sn2_E_E_D_B_A_B -532.39156559 -532.40099957
sn2_E_E_C_D_B_B sn2_E_E_C_D_B_B -780.31616988 -420.32065101
sn2_E_E_C_D_B_A sn2_E_E_C_D_B_A -780.31616625 -321.18763242
sn2_E_E_C_C_A_B sn2_E_E_C_C_A_B -473.20061180 -473.20628602
sn2_E_E_C_A_A_B sn2_E_E_C_A_A_B -381.13383078 -381.14327823
sn2_E_E_B_E_A_B sn2_E_E_B_E_A_B -548.43194674 -548.44041458
sn2_E_E_B_D_A_A sn2_E_E_B_D_A_A -532.38977831 -433.27231245
sn2_E_E_B_C_B_B sn2_E_E_B_C_B_B -945.28631750 -585.28427381
sn2_E_E_B_C_A_D sn2_E_E_B_C_A_D -585.28750041 -3058.48307009
sn2_E_E_B_C_A_B sn2_E_E_B_C_A_B -585.28268290 -585.29192819
sn2_E_E_B_B_B_B sn2_E_E_B_B_B_B -1057.35631511 -697.36533507
sn2_E_E_B_B_A_A sn2_E_E_B_B_A_A -697.34946418 -598.24308732
sn2_E_E_B_A_C_A sn2_E_E_B_A_C_A -394.09115378
sn2_E_E_B_A_A_B sn2_E_E_B_A_A_B -493.21914995 -493.21286661
sn2_E_E_B_A_A_A sn2_E_E_B_A_A_A -493.22095379 -394.09062089
sn2_E_E_A_E_A_A sn2_E_E_A_E_A_A -344.27193343 -245.14197091
sn2_E_E_A_D_A_A sn2_E_E_A_D_A_A -328.22862580 -229.10620221
sn2_E_E_A_C_A_B sn2_E_E_A_C_A_B -381.13438169 -381.13420666
sn2_E_D_E_E_A_B sn2_E_D_E_E_A_B -383.44824601 -383.44170445
sn2_E_D_E_E_A_A sn2_E_D_E_E_A_A -383.43669017 -284.31782163
