calc label enthalpy
sn2_E_E_E_E_A_B sn2_E_E_E_E_A_B -499.14846968
sn2_E_E_E_E_A_A sn2_E_E_E_E_A_A -399.94580790
sn2_E_E_E_D_C_A sn2_E_E_E_D_C_A -2857.19941897
sn2_E_E_E_D_A_B sn2_E_E_E_D_A_B -483.10975047
sn2_E_E_E_D_A_A sn2_E_E_E_D_A_A -383.96127934
sn2_E_E_E_C_B_B sn2_E_E_E_C_B_B -896.05833803
sn2_E_E_E_C_B_A sn2_E_E_E_C_B_A -796.85166840
sn2_E_E_E_C_A_B sn2_E_E_E_C_A_B -536.02923935
sn2_E_E_E_A_B_A sn2_E_E_E_A_B_A -704.81725422
sn2_E_E_E_A_A_A sn2_E_E_E_A_A_A -344.73174288
sn2_E_E_D_E_B_A sn2_E_E_D_E_B_A -743.99405730
sn2_E_E_D_D_A_D sn2_E_E_D_D_A_D -2940.33617984
sn2_E_E_D_C_A_B sn2_E_E_D_C_A_B -519.98772713
sn2_E_E_D_B_A_B sn2_E_E_D_B_A_B -632.06225064
sn2_E_E_C_D_B_B sn2_E_E_C_D_B_B -880.01775062
sn2_E_E_C_D_B_A sn2_E_E_C_D_B_A -780.81167932
sn2_E_E_C_C_A_B sn2_E_E_C_C_A_B -572.89925701
sn2_E_E_C_A_A_B sn2_E_E_C_A_A_B -480.81091991
sn2_E_E_B_E_A_B sn2_E_E_B_E_A_B -648.10494396
sn2_E_E_B_D_A_A sn2_E_E_B_D_A_A -532.86813179
sn2_E_E_B_C_B_B sn2_E_E_B_C_B_B -1044.99737542
sn2_E_E_B_C_A_D sn2_E_E_B_C_A_D -3158.19835235
sn2_E_E_B_C_A_B sn2_E_E_B_C_A_B -684.97330447
sn2_E_E_B_B_B_B sn2_E_E_B_B_B_B -1157.06799912
sn2_E_E_B_B_A_A sn2_E_E_B_B_A_A -697.85271570
sn2_E_E_B_A_C_A sn2_E_E_B_A_C_A -2966.96878336
sn2_E_E_B_A_A_B sn2_E_E_B_A_A_B -592.88668522
sn2_E_E_B_A_A_A sn2_E_E_B_A_A_A -493.69221752
sn2_E_E_A_E_A_A sn2_E_E_A_E_A_A -344.73173937
sn2_E_E_A_D_A_A sn2_E_E_A_D_A_A -328.68682001
sn2_E_E_A_C_A_B sn2_E_E_A_C_A_B -480.81092878
sn2_E_D_E_E_A_B sn2_E_D_E_E_A_B -483.10079057
sn2_E_D_E_E_A_A sn2_E_D_E_E_A_A -383.89996505
sn2_E_D_E_D_A_B sn2_E_D_E_D_A_B -467.05127732
sn2_E_D_E_C_A_B sn2_E_D_E_C_A_B -519.97087514
sn2_E_D_E_A_A_B sn2_E_D_E_A_A_B -427.87573315
sn2_E_D_E_A_A_A sn2_E_D_E_A_A_A -328.67806393
sn2_E_D_D_C_A_B sn2_E_D_D_C_A_B -503.93616036
sn2_E_D_C_E_A_B sn2_E_D_C_E_A_B -519.97315912
sn2_E_D_C_D_B_B sn2_E_D_C_D_B_B -863.97244118
sn2_E_D_C_D_B_A sn2_E_D_C_D_B_A -764.76833025
sn2_E_D_C_D_A_A sn2_E_D_C_D_A_A -404.74155764
sn2_E_D_C_C_C_B sn2_E_D_C_C_C_B -3030.08056091
sn2_E_D_C_C_B_B sn2_E_D_C_C_B_B -916.87946651
sn2_E_D_C_A_A_B sn2_E_D_C_A_A_B -464.76342877
sn2_E_D_B_D_C_A sn2_E_D_B_D_C_A -2990.04769822
sn2_E_D_B_D_B_B sn2_E_D_B_D_B_B -976.05005872
sn2_E_D_B_D_B_A sn2_E_D_B_D_B_A -876.84746355
sn2_E_D_B_A_A_B sn2_E_D_B_A_A_B -576.84067095
sn2_E_D_A_E_A_B sn2_E_D_A_E_A_B -427.87077096
sn2_E_D_A_C_C_A sn2_E_D_A_C_C_A -2838.81635448
sn2_E_D_A_B_A_A sn2_E_D_A_B_A_A -477.63532703
sn2_E_C_E_E_C_B sn2_E_C_E_E_C_B -3009.24496875
sn2_E_C_E_E_B_B sn2_E_C_E_E_B_B -896.04289042
sn2_E_C_E_E_B_A sn2_E_C_E_E_B_A -796.86168192
sn2_E_C_E_D_B_B sn2_E_C_E_D_B_B -880.00652302
sn2_E_C_E_D_A_D sn2_E_C_E_D_A_D -2993.20484446
sn2_E_C_E_C_B_A sn2_E_C_E_C_B_A -833.72751227
sn2_E_C_E_C_A_C sn2_E_C_E_C_A_C -932.91563215
sn2_E_C_E_C_A_A sn2_E_C_E_C_A_A -473.70039725
sn2_E_C_E_B_B_B sn2_E_C_E_B_B_B -1044.99795425
sn2_E_C_E_A_B_B sn2_E_C_E_A_B_B -840.83202204
sn2_E_C_E_A_B_A sn2_E_C_E_A_B_A -741.63845312
sn2_E_C_E_A_A_D sn2_E_C_E_A_A_D -2954.03024187
sn2_E_C_E_A_A_B sn2_E_C_E_A_A_B -480.79714503
sn2_E_C_D_E_B_B sn2_E_C_D_E_B_B -880.00375404
sn2_E_C_D_D_B_B sn2_E_C_D_D_B_B -863.97031219
sn2_E_C_D_D_A_C sn2_E_C_D_D_A_C -863.97125829
sn2_E_C_D_D_A_B sn2_E_C_D_D_A_B -503.93916157
sn2_E_C_D_C_C_B sn2_E_C_D_C_C_B -3030.08820064
sn2_E_C_D_C_C_A sn2_E_C_D_C_C_A -2930.89990960
sn2_E_C_D_C_B_B sn2_E_C_D_C_B_B -916.88713320
sn2_E_C_D_C_A_A sn2_E_C_D_C_A_A -457.66818658
sn2_E_C_D_B_B_B sn2_E_C_D_B_B_B -1028.96304282
sn2_E_C_D_B_B_A sn2_E_C_D_B_B_A -929.77237600
sn2_E_C_D_A_C_B sn2_E_C_D_A_C_B -2937.99923806
sn2_E_C_D_A_B_B sn2_E_C_D_A_B_B -824.79749021
sn2_E_C_D_A_A_D sn2_E_C_D_A_A_D -2937.99923619
sn2_E_C_D_A_A_A sn2_E_C_D_A_A_A -365.57225706
sn2_E_C_C_D_C_B sn2_E_C_C_D_C_B -3030.08559252
sn2_E_C_C_D_B_B sn2_E_C_C_D_B_B -916.88444620
sn2_E_C_C_D_B_A sn2_E_C_C_D_B_A -817.69463064
sn2_E_C_C_D_A_C sn2_E_C_C_D_A_C -916.88460354
sn2_E_C_C_D_A_A sn2_E_C_C_D_A_A -457.66679998
sn2_E_C_C_C_B_C sn2_E_C_C_C_B_C -1329.82145748
sn2_E_C_C_C_B_B sn2_E_C_C_C_B_B -969.78996532
sn2_E_C_C_C_B_A sn2_E_C_C_C_B_A -870.60157483
sn2_E_C_C_C_A_C sn2_E_C_C_C_A_C -969.79007521
sn2_E_C_C_A_B_D sn2_E_C_C_A_B_D -3350.94929382
sn2_E_C_C_A_B_C sn2_E_C_C_A_B_C -1237.74648639
sn2_E_C_C_A_B_B sn2_E_C_C_A_B_B -877.71110543
sn2_E_C_C_A_B_A sn2_E_C_C_A_B_A -778.52184895
sn2_E_C_C_A_A_D sn2_E_C_C_A_A_D -2990.91205525
sn2_E_C_B_C_A_B sn2_E_C_B_C_A_B -721.84095282
sn2_E_C_B_B_B_C sn2_E_C_B_B_B_C -1553.96552514
sn2_E_C_B_B_A_B sn2_E_C_B_B_A_B -833.91259194
sn2_E_C_B_A_C_D sn2_E_C_B_A_C_D -5576.22586135
sn2_E_C_B_A_B_B sn2_E_C_B_A_B_B -989.78532029
sn2_E_C_B_A_B_A sn2_E_C_B_A_B_A -890.59434715
sn2_E_C_B_A_A_D sn2_E_C_B_A_A_D -3102.98624175
sn2_E_C_B_A_A_C sn2_E_C_B_A_A_C -989.78560622
sn2_E_C_B_A_A_A sn2_E_C_B_A_A_A -530.57152613
sn2_E_C_A_E_B_B sn2_E_C_A_E_B_B -840.83635705
sn2_E_C_A_D_C_B sn2_E_C_A_D_C_B -2937.99636444
sn2_E_C_A_D_B_D sn2_E_C_A_D_B_D -3298.03660045
sn2_E_C_A_D_B_B sn2_E_C_A_D_B_B -824.79485171
sn2_E_C_A_D_A_C sn2_E_C_A_D_A_C -824.79486744
sn2_E_C_A_D_A_A sn2_E_C_A_D_A_A -365.57170888
sn2_E_C_A_C_C_B sn2_E_C_A_C_C_B -2990.91163562
sn2_E_C_A_C_B_B sn2_E_C_A_C_B_B -877.71051626
